Item Name,Qty,Price (total) (USD),Item link,Notes,
"Front Suspension Fork, 10 inch Shock Absorption Parts Anti Vibration Hydraulic Shock Absorber",1,$39.49,"Electric Scooter Front Suspension Fork, 10 inch Shock Absorption Parts Anti Vibration Hydraulic Shock Absorber",Suspension will hopefully dampen vibration (one of the biggest cons of a hub motor wheel),
Zip Ties 8 inch (100 Pack),100,$3.99,"Zip Ties 8 inch (100 Pack), 40lbs Tensile Strength, Black Cable Ties, Wire Ties for indoor and outdoor use, by Skalon",Used for securing battery/electronics to frame,
"7/8"" Inner Wide Round U Bolts",2,$8.19,"uxcell 7/8"" Inner Wide Round U Bolts 2"" Length 304 Stainless 2 Set",To secure the handlebar/footrest to the frame,
Center punch,2,$5.68,"2PCS Automatic Center Punch,5'' Spring Loaded Center Punch, Heavy Duty Steel Adjustable Center Marker Punch Tool with 2PCS Extra Replacement Tip for Metal,Plastic,Wood,Glass by YUIOASE",Essential for making accurate holes with a hand drill (I'm using jigs to align the center punch on the aluminum),
Polyureuthane Caster wheels,4,$12.98,"Caster Wheels with Threaded Stem, 3 Inch Locking Swivel Casters Set of 4",For back wheels,
Blue loctite/threadlocker,1,$7.49,"ThreadLocker Blue, Thread Lock Medium Strength Lock Tight for Nuts, Bolts, Fasteners and Metals, Anaerobic Curing Metal Glue to Prevent Loosening and Corrosion (M243-50ml)","For use on most bolts, there will be tons of vibration so threadlocker is needed to prevent loosening",
M6 screw set,1,$9.99,"Fgruh 185PCS M6 Socket Screws Assortment Kit, M6x8/10/12/16/20/25/30/35 mm",For use on the pedal collars and screwing stuff onto the frame,
3/8'-16 heatset inserts,10,$9.99,"ruthex 3/8""-16 Threaded Inserts - 15 Pieces RX-3/8“-16-x12.7 Brass Heat Set Insert for Plastic Parts - Inches UNC knurled Nuts - Insert by Heat into 3D Printing Components",For attaching the casters to the drifting assembly through the 3d printed adapter,
"1"" pillow bearings",2,$15.79,"2 Pack UCP205-16 Pillow Block Mounted Ball Bearing - 1"" Bore - Solid Cast Iron Base - Self Aligning",For mounting the main back tube onto the frame,
8in 36V 500W motor + controller + throttle,1,$139.90,8in Hub Motor Kit 36V 500W Brushless Gearless with 25A BLDC Controller,Very convenient as it comes with a controller and throttle,
Li-ion 36v 10Ah battery,1,$0.00,,Already own an old one,
Plexiglass sheets,2,$6.99,"8×10"" Plexiglass Sheets 1/8 inch Thick,3mm Clear Acrylic Sheet 2 Pack",Something for the electronics to sit on,
XT60 connectors,3,$8.99,"Yeebline 3 Pairs (6PCS) XT60 Plug Female and Male Connector, XT60 Connector Plug Adapter with 100mm 12AWG Silicone Copper Wire Cable Cord for RC Lipo Battery Cable Drone",For connecting the battery to the motor controller,
5 pin battery connector,1,$9.99,"KH866 E-Bike Battery Power Discharge Connector – Compatible with Hailong 5 Pin Connector Pair Male & Female Plug for Ebikes Battery, Cycling Parts, Black & Silver",For connecting the battery to the XT60 connector (need to solder),
Aluminum plates,3,$9.49,"PATIKIL 6061 T651 Aluminum Sheet Metal 6 x 8 x 1/25.4(0.04"") Inch 3Pcs Flat Plain Aluminum Plate Covered Stock with Protective Film, Heat Rectangle 1MM for Lndustry Crafting",For shear panels to prevent the frame from racking,
Foam tape,1,$5.35,"Frost King R734H Sponge Rubber Foam Tape 3/4"" W X 7/16"" H X 10' L, Black",To dampen the vibrations/impacts on the seat and the drift mechanism,
"1"" pitch aluminum gussets",18,$74.09,1/2 in. Pitch Gussets — AndyMark,For securing the frame together,
6061-T6 Aluminum tubes and 6063-T52square tubes,15,$158.24,"Speedy Metals 1"" SQ x 3/4"" ID x .125"" Wall 6063 Aluminum Square Tube, https://www.speedymetals.com/pc-4590-8371-1-od-x-125-wall-tube-6061-t6-aluminum.aspx","For the frame, drift mechanism and drift lever.",
Aluminum Slip-on Fitting(single socket tee,4,$38.64,"Aluminum Slip-on Fitting, Tee Through-Hole Connector for 1"" Rail OD | McMaster-Carr","Single socket tees for attaching casters, drift lever and hardstop to the back tube.",NOTE: Shipping+taxes added to this part and below (classic McmasterCarr)
Tube-Connecting Nut (star nuts),5,$14.24,"Tube-Connecting Nut, for 1.120"" - 1.150"" Tube ID, 3/8""-16 Thread Size | McMaster-Carr",For attaching the handlebar/footrest to the scooter headtube piece,
M8 40mm socket screws,50,$20.26,"Black-Oxide Alloy Steel Socket Head Screw, M8 x 1.25 mm Thread Size, 40 mm Long, Partially Threaded | McMaster-Carr",For securing the frame together,
M8 locknuts,50,$17.60,"High-Strength Steel Nylon-Insert Locknut, Zinc Plated, M8 x 1.25 mm Thread Size | McMaster-Carr",For securing the frame together,
"3/8""-16 bolts, washers, nuts",10,$14.53,"Grade 5 Steel Hex Head Screws with Nuts and Washers, Medium-Strength, 3/8""-16 Thread Size, 2"" Long | McMaster-Carr",For securing the scooter headtube to the star nut,
,,,,,
Total Price (USD):,$631.92,,,,
